Grade/Class,Skills,Interests,Hobbies,Passion,Favorite Subject,Recommended Career,Salary,Job Description,Job Security,Topics to Be Covered
10th,"Node.js, Linux, Data Structures, HTML",Networking,Reading Tech Blogs,Solving Problems,Mathematics,AR/VR Developer,137751,Create immersive AR/VR experiences.,Medium,Unity-3D Modeling-ARKit-VRSystems
B.E Information Science,"SQL, Machine Learning, Cybersecurity, Python",UI/UX Design,Building Projects,Creating Technology,Physics,Frontend Developer,147473,Create interactive UI experiences.,High,HTML-CSS-JavaScript-React-UI Design
MSc Computer Science,"C++, Machine Learning, HTML, React",Data Analytics,Designing,Creating Technology,Computer Science,Software Developer,148111,Develop and maintain software applications.,Very High,DSA-OOPs-Databases-APIs
MTech Artificial Intelligence,"C++, Docker, Machine Learning, Cloud Computing",App Development,Building Projects,Automating Processes,Data Science,Frontend Developer,109732,Create interactive UI experiences.,High,HTML-CSS-JavaScript-React-UI Design
10th,"Kubernetes, Data Structures, Java, JavaScript",Machine Learning,Competitive Programming,Developing Web Apps,Mathematics,Blockchain Developer,118953,Develop blockchain-based applications.,Very High,SmartContracts-Web3-Cryptography
B.Tech IT,"CSS, JavaScript, DevOps, Cybersecurity",Machine Learning,Debugging,Working with Data,Computer Science,Backend Developer,116711,Manage server-side logic and databases.,Very High,Node-Python-Databases-APIs
B.E Computer Science,"SQL, Deep Learning, CSS, AWS",Game Design,Reading Tech Blogs,Creating Technology,Physics,Full Stack Developer,73025,Build both frontend and backend systems.,Medium,HTML-CSS-JS-React-Node-APIs
B.E Computer Science,"HTML, Cybersecurity, Automation, Linux",Cloud Computing,Exploring Open Source,Developing Web Apps,Data Science,Mobile App Developer,109588,Create mobile applications.,Very High,Android-iOS-ReactNative
B.E Information Science,"Machine Learning, Kubernetes, HTML, Networking",AI,Exploring Open Source,Designing User Experiences,Physics,QA Automation Engineer,116166,Write automated test suites.,Medium,Selenium-PyTest-API Testing
B.Tech IT,"Linux, Node.js, React, Machine Learning",Game Design,Gaming,Automating Processes,Data Science,Network Engineer,125711,Maintain network systems and connectivity.,Medium,Routing-Switching-NetworkSecurity
B.Tech IT,"Azure, CSS, Java, Automation",Game Design,Designing,Automating Processes,Data Science,Software Developer,105124,Develop and maintain software applications.,Medium,DSA-OOPs-Databases-APIs
Diploma in Computer Engineering,"Java, Azure, CSS, Python",Web Development,Exploring Open Source,Automating Processes,Computer Science,DevOps Engineer,75949,Automate CI/CD pipelines and system deployments.,High,Linux-CI/CD-Docker-Kubernetes
B.Tech IT,"Networking, Node.js, Deep Learning, AWS",Game Design,Building Projects,Securing Networks,Mathematics,Blockchain Developer,66323,Develop blockchain-based applications.,Medium,SmartContracts-Web3-Cryptography
MTech Artificial Intelligence,"Docker, CSS, Azure, JavaScript",Machine Learning,Debugging,Working with Data,Data Science,Mobile App Developer,64848,Create mobile applications.,High,Android-iOS-ReactNative
MSc Computer Science,"Linux, HTML, Python, Node.js",App Development,Building Projects,Creating Technology,Mathematics,Cybersecurity Analyst,103612,Monitor and protect systems from cyber threats.,High,NetworkSecurity-Firewalls-EthicalHacking
B.Tech CSE,"CSS, Cybersecurity, DevOps, C++",AI,Competitive Programming,Solving Problems,Electronics,Data Scientist,120006,Analyze and model data for insights.,High,Statistics-ML-DataVisualization
BSc Computer Science,"AWS, CSS, Automation, Azure",Game Design,Debugging,Automating Processes,Electronics,Frontend Developer,109749,Create interactive UI experiences.,Medium,HTML-CSS-JavaScript-React-UI Design
MTech Data Science,"Java, Python, Automation, HTML",Machine Learning,Reading Tech Blogs,Working with Data,Information Technology,Full Stack Developer,147294,Build both frontend and backend systems.,Very High,HTML-CSS-JS-React-Node-APIs
MCA,"Java, AWS, Machine Learning, Data Structures",App Development,Designing,Solving Problems,Electronics,UI/UX Designer,148516,Design seamless user experiences.,High,Wireframing-Prototyping-DesignTools
Diploma in Computer Engineering,"Cloud Computing, AWS, Data Structures, HTML",Cloud Computing,Designing,Creating Technology,Data Science,AI Engineer,106248,Develop AI-powered applications.,High,AI-ML-NLP-DeepLearning
B.E Information Science,"JavaScript, AWS, Deep Learning, Cybersecurity",Networking,Building Projects,Solving Problems,Computer Science,Cloud Engineer,64878,Design and maintain cloud infrastructure.,Medium,AWS-Azure-GCP-Docker-Kubernetes
BCA,"Cybersecurity, Kubernetes, Node.js, Python",Machine Learning,Building Projects,Securing Networks,Data Science,AI Engineer,106177,Develop AI-powered applications.,High,AI-ML-NLP-DeepLearning
BSc Computer Science,"SQL, JavaScript, Deep Learning, Docker",Machine Learning,Exploring Open Source,Designing User Experiences,Mathematics,Full Stack Developer,69628,Build both frontend and backend systems.,High,HTML-CSS-JS-React-Node-APIs
B.E Computer Science,"Networking, Cybersecurity, Deep Learning, HTML",AI,Coding,Developing Web Apps,Computer Science,Software Developer,125862,Develop and maintain software applications.,Medium,DSA-OOPs-Databases-APIs
12th,"C++, Cloud Computing, Java, Azure",Software Engineering,Building Projects,Solving Problems,Physics,QA Automation Engineer,110248,Write automated test suites.,Medium,Selenium-PyTest-API Testing
